,geo,text,name,location,hashtags,source,followers_count,friends_count,created_at,verification_status,entities,sentiment
4518,, ‼️37-year-old #Ohio veteran—who posted a widely shared anti-#mask screed on Facebook—tested positive for #COVID19 on Jul…,joe69051471,"Dublin, Ohio, USA","['Ohio', 'mask', 'COVID19']",Twitter for Android,3211,3288,2020-07-12 16:58:26,False,"[('Ohio', 'GPE'), ('Facebook', 'ORG'), ('Jul', 'ORG')]","{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.7184}"
4519,," From which 'Jamaat', Anupam Kher's mother and brother got #Coronavirus?",brandxlee,,['Coronavirus'],Twitter for Android,379,274,2020-07-12 16:58:25,False,"[(""Anupam Kher's"", 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4520,,Who would've thought electing an incompetent and corrupt president who then nominates an incompetent and corrupt Secretary of Education would lead to a massive and very dangerous clusterfuck?#CoronaVirus #SchoolReopening,SammyrayD,,"['CoronaVirus', 'SchoolReopening']",TweetDeck,193,453,2020-07-12 16:58:24,False,"[('Education', 'ORG'), ('SchoolReopening', 'ORG')]","{'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.8622}"
4521,, BREAKING: Highest jump in Covid-19 cases in Meerut— 71 new cases test positive for Covid-19 in Meerut; tally reaches 1…,hitesh___rana,"New Delhi, India",[],Twitter for Android,128,344,2020-07-12 16:58:24,False,"[('BREAKING', 'PERSON'), ('Meerut', 'GPE'), ('71', 'CARDINAL'), ('Meerut', 'GPE'), ('1', 'CARDINAL')]","{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.5859}"
4522,, Please cancel this RNC coming to Jacksonville!#GOPnotwelcomeinJax #RNCboycottJax #Jacksonville #coronavirus #RNCnotinJax #RNCbringscoronavirus #NoRNC #RepublicansVirus #Resistance #UnitedWeStand2020 #CoronavirusOutbreak,DeathOfDemocra1,It use to be America,"['GOPnotwelcomeinJax', 'RNCboycottJax', 'Jacksonville', 'coronavirus', 'RNCnotinJax', 'RNCbringscoronavirus', 'NoRNC', 'RepublicansVirus', 'Resistance', 'UnitedWeStand2020', 'CoronavirusOutbreak']",Twitter for iPhone,84,194,2020-07-12 16:58:23,False,"[('RNC', 'GPE'), '', '', ('RNCbringscoronavirus', 'ORG'), '', ('RepublicansVirus', 'ORG'), '']","{'neg': 0.102, 'neu': 0.766, 'pos': 0.132, 'compound': 0.1511}"
4523,, Follow .  Share the stories of so many lost to #COVID19.  Remind everyone that they are not just numbers. The…,carinahaley,"Los Angeles, California",['COVID19'],Twitter for iPhone,3957,4994,2020-07-12 16:58:20,False,[],"{'neg': 0.118, 'neu': 0.781, 'pos': 0.101, 'compound': -0.0972}"
4524,," 'Risk, not politics' will decide border #coronavirus restrictions ",megabyte21,,['coronavirus'],Twitter for iPad,15,53,2020-07-12 16:58:20,False,[''],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4525,, So basically: ✅Declare a 'pandemic'✅Order #lockdown✅Collapse real economy ✅Destroy as many jobs as possible✅Quadruple debt…,AlbaM59713960,,['lockdown'],Twitter for Android,47,105,2020-07-12 16:58:19,False,"[('✅Declare', 'PERSON'), ('✅', 'ORG'), ('✅Collapse', 'PRODUCT'), ('✅Destroy', 'PERSON'), ('✅Quadruple', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4526,," . is releasing 8,000 inmates due to #coronavirus fears! 🤬 I’m fed up with his “leadership.” I’m seriously cons…",pandaamanda1982,,['coronavirus'],Twitter for iPhone,123,323,2020-07-12 16:58:18,False,"[('8,000', 'CARDINAL'), '']","{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.5848}"
4527,, Ok so 2020 and the #coronavirus #pandemic looks really bad but let’s compare it to 536 AD — the worst year in history | by…,mea_mark,Rural Central Texas,"['coronavirus', 'pandemic']",TweetDeck,1517,1701,2020-07-12 16:58:17,False,"[('2020', 'DATE'), '', ('536', 'CARDINAL'), ('the worst year', 'DATE')]","{'neg': 0.271, 'neu': 0.675, 'pos': 0.054, 'compound': -0.815}"
4528,,"#Coronavirus update: Florida shatters single-day infection record with 15,300 new casesBy Derek Hawkins, Felicia Sonmez and Robert Costa#COVID19isReal#TrumpIsKillingAmericans",family_inmate,"Maryland, USA","['Coronavirus', 'COVID19isReal', 'TrumpIsKillingAmericans']",Twitter for Android,372,98,2020-07-12 16:58:16,False,"[('Coronavirus', 'NORP'), ('Florida', 'GPE'), ('15,300', 'CARDINAL'), ('Derek Hawkins', 'PERSON'), ('Felicia Sonmez', 'PERSON'), ('Robert Costa#COVID19isReal#TrumpIsKillingAmericans', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4529,, We've been relying on plastics for too long. It's high time we turn to the best possible alternative.#worldplasticday…,DivyaJanakiram4,,['worldplasticday'],Twitter for Android,3,6,2020-07-12 16:58:14,False,[],"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.6369}"
4530,,#school #children #teachers #family members #lives #coronavirus ,MelisaHerington,,"['school', 'children', 'teachers', 'family', 'lives', 'coronavirus']",Twitter for iPhone,266,1162,2020-07-12 16:58:14,False,"['', '', '', '', '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4531,, We've been relying on plastics for too long. It's high time we turn to the best possible alternative.#worldplasticday…,Varushagiridha1,,['worldplasticday'],Twitter Web App,0,2,2020-07-12 16:58:13,False,[],"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.6369}"
4532,," 2020 is on a slippery slope.One thing to another, wondering when this corona is gonna end..#coronavirus",mozak74,Apka dil........,['coronavirus'],Twitter for Android,13522,4013,2020-07-12 16:58:12,False,"[('2020', 'DATE'), ('One', 'CARDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4533,,"#Turkey's daily #coronavirus figures - July 12, 2020 ",anadoluagency,Ankara - TURKEY,"['Turkey', 'coronavirus']",Twitter Web App,141247,23,2020-07-12 16:58:12,True,"[('Turkey', 'GPE'), ('July 12, 2020', 'DATE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
